spid,rating,COMMEQTA,LLPLOANS,COSTTOINCOME,ROE,LIQASSTA,SIZE
106123,1,0.088714,0.003164,0.770227,0.053153,0.074674,19.1963
127999,1,0.024999,0.001708,0.22883,0.113123,0.789314,18.2826
129587,1,0.069544,0.000581,0.610047,0.110693,0.327376,17.9989
103135,2,0.018007,0,0.44924,0.22665,0.451114,17.0716
360720,2,0.099826,-0.001657,0.72861,0.10952,0.023865,15.5385
329924,2,0.032874,0.001063,0.52535,0.0487,0.350818,17.8627
371409,3,0.06507,0.012248,0.40701,0.144573,0.055811,17.705
384585,3,0.042875,0.002119,0.466987,0.182763,0.150081,17.428
108740,3,0.059486,0.001607,0.65379,0.18176,0.485119,17.5777
101704,3,0.077646,0.012294,0.567153,0.13459,0.050267,20.0548
101433,4,0.060039,0.018689,0.759563,-0.014137,0.218613,18.6818
102214,4,0.08204,0,0.74177,0.14961,0.259663,18.4156
115829,4,0.26787,0.071908,0.348493,0.115477,0.051782,18.5362
109822,4,0.040289,-0.000186,0.50281,-0.06052,0.521805,15.4073
108426,4,0.050855,0.001365,0.789173,0.033923,0.095974,16.4034
100830,4,0.103902,0.006338,0.615247,0.056857,0.053522,17.7835
100225,4,0.140438,0.001425,0.69168,0.059375,0.346062,18.8353
119872,4,0.028459,0.018826,0.511103,0.119113,0.302016,21.1939
363553,4,0.029463,0.009445,0.543417,0.205523,0.272936,19.995
347072,4,0.042646,0.000107,0.523483,0.189513,0.137896,19.8069
101701,4,0.063741,0.001591,0.67445,0.16474,0.399721,17.7271
120079,4,0.056489,0.003894,0.524997,0.151923,0.12682,19.2896
364609,4,0.13508,0.001086,0.46141,0.004437,0.235544,18.7979
100351,4,0.026187,0.00572,0.682977,0.091863,0.610125,21.0835
114871,5,0.056114,0.006593,0.507713,0.162533,0.085634,18.8775
115960,5,0.037925,0.000883,0.583537,0.08896,0.01931,19.1079
101589,5,0.085219,0.015017,0.521223,0.103153,0.196748,20.8977
369791,5,0.042027,0.000288,0.234327,0.128223,0.467304,19.1373
100850,5,0.101244,0.002889,0.601425,0.10445,0.092925,20.0966
307760,5,0.015789,0.002647,0.97564,0.044513,0.408713,19.8716
309105,5,0.119363,0.000246,0.555287,0.088043,0.279276,16.3133
354166,5,0.03142,0.01065,0.55444,-0.014737,0.089777,20.5409
110658,5,0.070414,0.011491,0.772525,0.0743,0.231875,18.8112
323611,5,0.031747,0.012209,0.235535,-0.06779,0.464299,15.7542
330844,5,0.020265,0.002866,0.66436,-0.044773,0.404638,19.893
330279,5,0.048703,0.005078,0.558437,0.054653,0.096054,17.4203
106225,5,0.089805,0.008777,0.629203,0.084593,0.060909,18.6973
100808,6,0.125334,0.009512,0.649063,-0.052437,0.05552,18.4512
113609,6,0.027139,0.005021,0.740933,-0.04423,0.201436,21.4347
371876,6,0.094263,0.00425,0.643243,0.059613,0.068545,18.6038
371335,6,0.019447,0.005414,0.625795,-0.239443,0.180918,19.1259
351824,6,0.055558,0.005685,0.561147,0.154577,0.167737,19.3039
115572,6,0.037196,0.001223,1.5856,0.06329,0.57425,20.4971
104472,6,0.027721,0.003443,0.718245,-0.118013,0.353973,19.7873
113361,6,0.019304,0.000199,0.23436,0.126257,0.253314,17.8056
115863,6,0.09843,0.00413,0.63189,0.11319,0.073494,17.5626
103788,6,0.024345,0.001015,0.68047,0.08496,0.273077,19.1745
376944,6,0.116888,0.058165,0.598053,0.269593,0.084111,16.6838
103417,6,0.015178,-0.000035,0.797393,0.048417,0.370149,18.9637
104201,6,0.044754,0.000921,0.527327,0.174577,0.151025,18.9028
341288,6,0.042477,0.002883,0.750607,0.085017,0.191585,19.6595
120025,6,0.027144,0.002803,0.639847,0.071593,0.558668,18.5665
100535,6,0.081766,0.006269,0.607123,0.11435,0.048152,17.6199
336782,6,0.117759,0.00528,0.489257,0.095937,0.057294,17.1317
100079,6,0.088477,0.095091,0.6624,0.320197,0.075009,18.3837
113122,6,0.055567,0.027864,0.913203,-0.00027,0.362821,21.0852
346162,6,0.032257,0.007624,0.779387,0.06392,0.816648,16.029
326186,6,0.045547,0.005845,0.640423,0.12249,0.151261,19.0851
100607,6,0.021171,0.000428,0.71625,0.108857,0.066745,18.5649
116601,6,0.010345,0.00522,1.05357,-0.248153,0.066864,18.7192
100233,6,0.073434,0.002175,0.77577,0.05056,0.421709,17.6702
309550,6,0.040391,0.002841,0.6177,0.165743,0.111557,17.4939
361969,6,0.025252,0.003456,0.393045,-0.040653,0.107929,19.3007
340772,6,0.059207,0.001964,0.534103,0.13151,0.103823,16.4284
101436,7,0.109397,0.001219,0.63408,0.14933,0.026592,17.5696
104371,7,0.015356,0.001391,0.812465,-0.052083,0.46667,19.4738
428170,7,0.110669,0.024377,0.857765,-0.071785,0.027588,17.5691
310737,7,0.074615,0.005239,0.650183,0.081207,0.144358,17.5744
102430,7,0.091859,0.002947,0.773487,0.087153,0.148386,15.7575
113415,7,0.105821,0.004833,0.575557,0.108107,0.032759,17.6192
105820,7,0.082563,0.022388,0.639727,0.01175,0.029206,18.1868
316745,7,0.1039,0.004026,0.604483,0.11676,0.047258,16.2402
101610,7,0.096586,0.007843,0.65239,0.09579,0.029153,18.4625
305541,7,0.074633,0.001784,0.58328,0.138773,0.050421,16.0686
310089,7,0.110316,0.002731,0.586043,0.146877,0.094277,16.116
118297,7,0.101971,0.002788,0.33805,0.143133,0.12516,17.1266
115448,7,0.072923,0.00701,0.619577,0.212653,0.024424,16.2453
117051,8,0.317565,0.004085,0.34671,0.101913,0.108957,10.5922
118526,8,0.064928,0.022384,0.697547,-0.093293,0.050036,17.2556
100217,8,0.089792,0.006839,0.606047,0.110257,0.053358,16.5028
102622,8,0.095133,0.00726,0.6776,0.059727,0.057661,17.4288
374131,8,0.08753,0.00563,0.615537,0.116713,0.0235,15.6076
126310,8,0.117192,0.000982,0.64423,0.08034,0.029078,16.3644
338876,8,0.10448,0.005352,0.54098,0.1094,0.024627,16.5834
130277,8,0.158954,0.031169,0.54777,0.061427,0.036098,18.5296
308837,8,0.237887,0.001028,0.686627,0.05789,0.108619,16.1446
112793,8,0.068942,0.003907,0.39769,0.187377,0.051178,15.9714
103446,8,0.103298,0.014884,0.652153,0.05502,0.043519,17.3387
319123,9,0.020451,0.001213,0.48454,0.09809,0.50982,17.1623
315774,9,0.107426,0.005926,0.607637,0.10368,0.058192,15.8972
110338,9,0.084604,0.004441,0.729677,0.10957,0.039739,15.5585
308526,9,0.056251,0.001437,0.533113,0.100697,0.006516,16.5643
365802,9,0.012033,0.001155,0.517297,-0.007533,0.194409,19.2516
126303,9,0.094054,0.007182,0.93303,-0.016173,0.022065,16.3354
453328,9,0.038567,-0.000067,0.3523,0.218267,0.034873,15.43
348447,10,0.165592,0.04705,0.52956,0.15739,0.173106,17.0717
316143,10,0.111283,0.012528,0.82402,-0.04192,0.021131,16.0894
119800,10,0.05195,0.010403,2.47178,-0.217563,0.089996,15.8246
102754,2,0.025,0.00434,0.645317,0.119583,0.426792,21.2641
316620,2,0.088892,0.008497,0.47737,0.178853,0.055544,18.9517
113544,3,0.052818,0.006841,0.46811,0.17561,0.18209,20.6485
112589,3,0.023533,0.005209,0.807073,-0.04472,0.076474,18.3725
105734,3,0.079126,0.001559,0.706917,0.18921,0.386427,18.3109
108416,3,0.03371,0.009419,0.53949,0.195883,0.270959,19.9973
116373,3,0.023686,0.000871,0.6689,0.116143,0.207088,20.6957
107496,3,0.160019,0.000151,0.871417,0.044597,0.214833,16.4746
116818,3,0.041817,0.00363,0.46067,0.2102,0.228009,18.5378
127922,3,0.025637,-0.001369,0.04655,0.238493,0.080847,16.2973
101508,3,0.037695,0.005005,0.610263,0.145573,0.325337,20.5171
106114,3,0.027355,0.001625,0.804727,0.213347,0.460207,19.0702
107905,4,0.066262,0.000838,0.670353,0.082893,0.348879,17.1225
103921,4,0.067462,0.001834,0.60975,0.20819,0.233922,17.1697
104471,4,0.023199,0.008673,0.614193,0.172647,0.345513,21.2815
102343,4,0.052792,0.003684,0.623797,0.19193,0.269874,19.5629
386821,4,0.053442,0.005005,0.586713,0.165383,0.136498,17.7021
359971,4,0.200492,0.004573,0.689863,0.03926,0.102312,17.5237
102029,4,0.041324,0.00363,0.649897,0.209177,0.35591,19.8679
104291,4,0.064597,0.00012,0.351843,0.111013,0.327723,18.9033
106045,4,0.10786,0.00866,0.587697,0.08516,0.074703,18.6826
103905,4,0.078615,0.006405,0.63768,0.08728,0.097223,18.243
102747,4,0.046631,0.001479,0.58306,0.200487,0.257369,19.5077
102748,4,0.029567,0.009635,0.51778,-0.023023,0.184281,20.405
108427,4,0.0372,0.000319,0.44482,0.193893,0.2178,19.103
102921,4,0.052518,-0.000462,0.521967,0.151647,0.135597,17.766
109245,4,0.048437,0.00094,0.502517,0.160297,0.139233,18.8412
300021,4,0.087632,0.004522,0.651157,0.088097,0.177759,20.2034
108973,4,0.102287,0.005624,0.527537,0.132183,0.026757,18.3536
111538,4,0.257439,0.045769,0.464023,0.099567,0.068302,17.957
110053,5,0.050737,0.005079,0.62626,0.117047,0.231053,20.6805
102745,5,0.042435,0.003657,0.67262,0.15277,0.318338,19.3464
105032,5,0.076463,0.009073,0.74953,0.02678,0.197428,17.3739
104003,5,0.037707,0.004911,0.772077,0.049143,0.180752,21.1662
107124,5,0.034169,0.001171,0.546863,0.252487,0.072688,19.0205
111914,5,0.069093,0.006795,0.561963,0.20547,0.222367,19.0772
105616,5,0.084794,0.006258,0.611673,0.10774,0.056698,17.6244
105471,5,0.171456,0.00608,0.720887,0.052493,0.025169,17.2989
119728,5,0.023226,0.001125,0.887563,0.057613,0.429821,19.8681
114976,5,0.022014,0.001615,0.637163,0.128817,0.452447,19.7688
327063,5,0.045099,0.004529,0.720743,0.177637,0.337308,19.9502
116415,5,0.007084,0.010988,0.91199,-0.15336,0.696662,19.7259
440402,5,0.054658,0.013144,0.30798,-0.14134,0.220968,17.7145
126418,5,0.071657,0.017788,0.6546,0.034723,0.50453,17.69
111703,5,0.051926,0.005334,0.49192,0.177273,0.103057,18.9661
105461,5,0.136171,0.009614,0.921623,-0.057103,0.048411,18.4209
111635,5,0.057433,0.005678,0.56498,0.144617,0.216681,19.3088
105765,5,0.033799,0.003993,1.07628,0.11096,0.320678,19.2525
104443,5,0.09171,0.004268,0.64503,0.110663,0.074649,17.5532
114352,5,0.024925,0.001378,1.18213,0.088633,0.638065,20.4772
101631,5,0.03546,0.005241,0.580797,0.162337,0.32521,19.7962
355047,5,0.044546,0.003564,0.578573,0.08229,0.285272,17.8011
324974,5,0.016465,0.003483,0.915195,-0.11638,0.536489,21.0578
100661,5,0.018092,0.002906,0.955373,0.08931,0.288493,21.3555
350639,6,0.008359,0.006228,0.264435,0.051485,0.299448,17.0154
117576,6,0.058527,0.005365,0.60492,0.106687,0.192343,18.0237
106019,6,0.080033,0.011207,0.668903,0.031827,0.056019,18.0396
112496,6,0.063577,0.015868,0.355697,0.063537,0.47533,16.2256
118431,6,0.0439,0.004449,0.66276,0.11416,0.118777,18.2821
110986,6,0.018912,0.001202,0.363677,-0.497617,0.105903,19.6781
377590,6,0.041032,0.000903,0.579483,-0.38733,0.297495,19.2052
108305,6,0.037847,0.002192,0.727667,0.147637,0.378799,18.2293
111255,6,0.120053,0.002724,0.56575,0.14307,0.097359,16.1234
110145,6,0.053926,0.006789,0.67064,0.120433,0.192625,18.9884
107128,6,0.022485,0.003754,0.6942,0.083067,0.174358,20.2398
107304,6,0.032554,0.003066,0.60139,0.171193,0.413413,18.0246
364610,6,0.08212,0.011316,0.57662,0.061497,0.061451,15.3274
389052,6,0.15827,0.009611,0.641637,0.023163,0.038563,17.6723
105518,6,0.109598,0.004847,0.549673,0.110053,0.033142,17.6059
310295,6,0.041613,0.001066,0.302455,0.137663,0.1556,16.922
111689,6,0.112483,0.050605,0.475977,0.501147,0.082415,16.6525
118467,6,0.035467,0.003209,0.529627,0.163623,0.140698,17.7203
102753,6,0.167733,0.002716,0.81814,0.025747,0.523013,17.2105
338959,6,0.031727,0.001172,0.619863,0.103667,0.069356,18.0693
108539,6,0.03234,0.002238,0.868333,-0.157707,0.213392,20.3261
108762,6,0.094947,0.017524,0.50448,0.04673,0.028554,17.4506
130137,7,0.1221,0.059014,0.55169,0.38401,0.11106,17.0056
361680,7,0.114305,0.004619,0.584843,0.114047,0.036632,15.6877
310471,7,0.085937,0.001028,0.674663,0.164247,0.044857,16.6248
105874,7,0.086935,0.012463,0.63888,0.06822,0.044795,17.3261
361374,7,0.027718,0.004141,0.8148,0.041983,0.135479,19.1408
322853,7,0.093845,0.006079,0.704733,0.095513,0.033867,15.9394
326002,7,0.029034,0.001059,0.56821,0.12059,0.280219,18.1569
105670,7,0.061132,0.006654,0.5369,0.168877,0.090058,16.2044
127879,7,0.177378,0.00103,0.670343,0.071407,0.104394,16.0922
306519,7,0.049371,0.007338,0.460667,0.114453,0.08873,17.0492
397556,8,0.047341,-0.000169,0.730753,0.06256,0.023851,15.3569
340841,8,0.057343,0.005667,0.532553,0.20292,0.187484,17.5738
105027,8,0.080851,0.021827,0.803793,0.029097,0.105278,17.0373
304963,8,0.05584,0.007829,0.4749,0.16819,0.126393,17.8449
336401,8,0.10872,0.015098,0.91,-0.05517,0.050798,17.9162
120338,8,0.048736,0.000492,0.602867,0.084907,0.228341,17.2502
110362,8,0.089029,0.004438,0.659123,0.111813,0.040334,15.5393
115909,9,0.122417,0.040415,0.521333,0.21577,0.112113,16.8983
109111,9,0.082444,0.017412,0.841883,-0.054473,0.094946,16.6953
316244,9,0.117238,0.003048,0.57384,0.128923,0.232619,16.3578
306139,9,0.109637,0.011144,0.557163,0.2586,0.133325,17.2891
319509,9,0.083465,0.012954,0.567193,0.075187,0.14771,16.062
109967,10,0.072279,0.009239,0.82363,0.09761,0.205654,15.6683
